type,difficulty,category,question/en,question/zh,correct_answer/en,correct_answer/zh,incorrect_answers/en/0,incorrect_answers/zh/0,incorrect_answers/en/1,incorrect_answers/zh/1,incorrect_answers/en/2,incorrect_answers/zh/2
multiple,easy,General Knowledge,Which company did Valve cooperate with in the creation of the Vive?,Valve在开发Vive时与哪家公司合作？,HTC,宏达电商,Oculus,Oculus,Google,谷歌,Razer,雷蛇
multiple,easy,General Knowledge,"What is Cuba""s official, most widely spoken language?","什么是古巴""官方、最广泛使用的语言？",Spanish,西班牙语,Portuguese,葡萄牙语,French,法语,Italian,意大利语
multiple,easy,General Knowledge,Which candy is NOT made by Mars?,哪些糖果不是火星制造的？,Almond Joy,杏仁喜悦,"M&M""s","合并与M""s",Twix,特威克斯,Snickers,偷笑
multiple,easy,General Knowledge,Earth is located in which galaxy?,地球位于哪个星系？,The Milky Way Galaxy,银河系,The Mars Galaxy,火星银河系,The Galaxy Note,银河笔记,The Black Hole,黑洞
multiple,easy,General Knowledge,"Virgin Trains, Virgin Atlantic and Virgin Racing, are all companies owned by which famous entrepreneur?   ",维珍列车、维珍大西洋和维珍赛车，这些公司都是哪位著名企业家拥有的？,Richard Branson,理查德·布兰森,Alan Sugar,艾伦·舒格,Donald Trump,唐纳德·特朗普,Bill Gates,比尔·盖茨
multiple,easy,General Knowledge,What machine element is located in the center of fidget spinners?,指尖陀螺中心的是什么机械元件？,Bearings,轴承,Axles,车轴,Gears,齿轮,Belts,带
multiple,easy,General Knowledge,Area 51 is located in which US state?,51区位于美国哪个州？,Nevada,内华达州,Arizona,亚利桑那州,New Mexico,新墨西哥州,Utah,犹他州
multiple,easy,General Knowledge,"The American company ""Campbell's"" is most well known for making what food product?","美国公司 &坎贝尔""s”最著名的是生产哪种食品产品？",Canned soups,罐装汤,Chocolate,巧克力,Soft drinks,软饮料,Sausages,香肠
multiple,easy,General Knowledge,Which of these colours is NOT featured in the logo for Google?,谷歌的标志中没有出现哪种颜色？,Pink,粉红色,Yellow,黄色,Blue,蓝,Green,绿
multiple,easy,General Knowledge,What was the first ever London Underground line to be built?,伦敦地铁的第一条线路是什么？,Metropolitan Line,大都会线,Circle Line,环线,Bakerloo Line,贝克卢线,Victoria Line,维多利亚线
multiple,easy,General Knowledge,"Who invented the first ever chocolate bar, in 1847?",谁在1847年发明了第一块巧克力棒？,Joseph Fry,约瑟夫·弗莱,Andrew Johnson,安德鲁·约翰逊,John Cadbury,约翰·卡德伯里,John Tyler,约翰·泰勒
multiple,easy,General Knowledge,"Waluigi""s first appearance was in what game?","瓦路易吉""他第一次出现是在哪款游戏里？",Mario Tennis 64 (N64),马里奥网球64（N64）,Wario Land: Super Mario Land 3,瓦里奥乐园：超级马里奥乐园3,Mario Party (N64),马里奥派对（N64）,Super Smash Bros. Ultimate,任天堂明星大乱斗特别版
multiple,easy,General Knowledge,"In aerodynamics, which force pushes an object upwards?",在空气动力学中，是什么力推动物体向上？,Lift,电梯,Drag,拉,Weight,重量,Thrust,推力
multiple,easy,General Knowledge,When was the Playstation 3 released?,Playstation 3是什么时候发布的？,"November 11, 2006",2006年11月11日,"January 8, 2007",2007年1月8日,"December 25, 2007",2007年12月25日,"July 16, 2006",2006年7月16日
multiple,easy,General Knowledge,What is the name of the antagonist group in Danganronpa Another Episode: Ultra Despair Girls?,《弹丸论破 另一话：极度绝望少女》中的反派团体叫什么名字？,Warriors of Hope,希望战士,The Monokubs,莫诺库布斯,Warriors of Despair,绝望战士,The Ultimate Despair,终极绝望
multiple,easy,General Knowledge,"What does the ""S"" stand for in the abbreviation SIM, as in SIM card? ","那个 ""S""SIM的缩写，比如SIM卡？",Subscriber,订户,Single,单,Secure,安全,Solid,固体
multiple,easy,General Knowledge,Which of the following blood component forms a plug at the site of injuries?,以下哪一种血液成分在受伤部位形成堵塞？,Platelets,血小板,Red blood cells,红细胞,White blood cells,白细胞,Blood plasma,血浆
multiple,easy,General Knowledge,Which of these holidays is NOT usually celebrated in the month of December?,这些节日中，哪些通常不在十二月庆祝？,Thanksgiving,感恩,Christmas,圣诞节,Kwanzaa,宽扎节,Hanukkah,光明
